symbol,name,ticker,tier,target_allocation_pct,shariah_status,lindy_cycles_survived,investment_thesis,shariah_reasoning
BTC,Bitcoin,BTCUSDT,Tier 1 (Core Reserve),40%,Halal,4 Cycles,"Digital Gold and primary sovereign digital store of value. Highest security and liquidity.","Pure peer-to-peer medium of exchange and store of value. Zero Riba or Gharar mechanics."
ETH,Ethereum,ETHUSDT,Tier 1 (Core Reserve),25%,Halal,3 Cycles,"Foundational settlement layer for global decentralized finance, web3 apps, and institutional tokenization (ETFs).","Native computational gas token. Staking rewards derive from transaction execution fees, not debt interest."
SOL,Solana,SOLUSDT,Tier 2 (Large-Cap Growth),15%,Halal,2 Cycles,"High-throughput Layer-1 with massive consumer adoption, DEX volume leadership, and fast execution speeds.","Native execution gas token. Genuine technical utility for transaction validation."
BNB,BNB,BNBUSDT,Tier 2 (Large-Cap Growth),5%,Halal,2 Cycles,"Native gas and utility token for BNB Chain and Binance ecosystem with deflationary quarterly token burn mechanics.","Utility token for transaction gas fees and platform fee discounts. Free of credit interest."
ARB,Arbitrum,ARBUSDT,Tier 2 (Large-Cap Growth),5%,Halal,1 Cycle,"Leading Ethereum Optimistic Rollup L2 scaling solution with top TVL and real fee revenue generation.","Governance and gas utility for L2 rollup scaling infrastructure."
NEAR,NEAR Protocol,NEARUSDT,Tier 3 (High-Conviction Utility),3%,Halal,2 Cycles,"Sharded Layer-1 optimized for chain abstraction, consumer web3 apps, and decentralized AI agent infrastructure.","Cloud compute and storage gas utility token."
AVAX,Avalanche,AVAXUSDT,Tier 3 (High-Conviction Utility),3%,Halal,2 Cycles,"Multi-chain Subnet architecture for institutional enterprise blockchains and custom execution environments.","Gas token and consensus collateral across Avalanche subnets."
LINK,Chainlink,LINKUSDT,Tier 3 (High-Conviction Utility),2%,Halal,2 Cycles,"Essential oracle network connecting smart contracts to off-chain data feeds and cross-chain messaging (CCIP).","Direct utility payment for oracle data feeds and cross-chain interoperability services."
INJ,Injective Protocol,INJUSDT,Tier 3 (High-Conviction Utility),1%,Halal,1 Cycle,"Specialized Layer-1 optimized for decentralized spot orderbooks and financial application execution.","Gas and auction burn utility for spot exchange execution."
HNT,Helium,HNTUSDT,Tier 3 (High-Conviction Utility),1%,Halal,1 Cycle,"Decentralized Wireless Physical Infrastructure Network (DePIN) providing IoT and mobile cellular coverage.","Burn-and-mint utility for real-world wireless cellular data coverage."
